name;;Dino;
Summary;;XMPP video calls for desktop;
Screenshots;;https://dino.im/img/screenshot1-small.png https://dino.im/img/screenshot2-small.png https://dino.im/img/screenshot3-small.png;
Android Google Play;no;;
Android F-droid/apk;no;;
Apple iOS;no;;
Desktop;yes;Linux, FreeBSD https://github.com/dino/dino/wiki/Distribution-Packages;unsupported macOS Homebrew https://github.com/dino/dino/wiki/macOS "official unofficial" Windows client: https://github.com/dino/dino/issues/309 https://github.com/LAGonauta/dino help and bugreports: xmpp:dino-win@chat.diebesban.de?join
Web;no;;
Languages;yes;39 https://github.com/dino/dino/wiki/Translations;29 full, 4 medium, 6 some
Protocol;;Jabber/XMPP;
Protocol open;yes;;
Client license;yes;GPL-3.0-or-later https://github.com/dino/dino/blob/master/README.md https://github.com/dino/dino/blob/master/LICENSE;
Register without app;yes;;
Replies;partial;replies;XEP-0461 https://github.com/dino/dino/issues/1303
Group chat;yes;https://github.com/dino/dino/wiki/Frequently-asked-questions-(FAQ)#how-to-create-a-group-chat;
Video calls;yes;https://dino.im/blog/2022/02/dino-0.3-release/;
Group calls;yes;https://dino.im/blog/2022/02/dino-0.3-release/;
File transfer;yes;;https://dino.im/blog/2020/11/dino-0.2-release/ + partial XEP-0447 https://xmpp.org/extensions/xep-0447.html only unencrypted file transfers https://dino.im/blog/2025/04/dino-0.5-release/
Emoji reception;partial;FIXME;
Reactions;yes;https://dino.im/blog/2023/02/dino-0.4-release/;
Multiple devices;yes;;
Multiple accounts;yes;https://dino.im/blog/2020/01/dino-0.1-release/;
Remote message removal;partial;last message;only by editing last message, XEP-0424 and XEP-0425 missing https://github.com/dino/dino/issues/1133
Remote message correction;partial;last message;XEP-0308 https://dino.im/blog/2020/11/dino-0.2-release/
Message expiration;no;XEP-0466 missing https://github.com/dino/dino/issues/1584;
Typing indication;yes;https://github.com/dino/dino/wiki/Supported-XEPs;toggle on/off both globally and per conversation
Read receipts;yes;https://github.com/dino/dino/wiki/Supported-XEPs;
Receipts not mandatory;yes;https://github.com/dino/dino/wiki/Supported-XEPs;toggle on/off both globally and per conversation
Landing page;yes;https://dino.im/;
Manual;partial;https://github.com/dino/dino/wiki;
Spam protection;no;;
Account deactivation after device compromise;yes;;
Disallow screenshots;no;;
Logo;yes;https://dino.im/img/logo.svg https://dino.im/favicon.ico;
End-to-end encryption;yes;XEP-0384 OMEMO https://github.com/dino/dino/wiki/Supported-XEPs;also OpenPGP
Usage without phone number;yes;;
Active development;yes;https://github.com/dino/dino/commits/master;
Multi-party development;partial;https://github.com/dino/dino/pulse/monthly;
Identity not controlled by vendor;yes;;
Open documentation;yes;https://github.com/dino/dino/wiki;
Web forum;no;;
Contact;yes;acct:dino@fosstodon.org xmpp:chat@dino.im;
Syndication;yes;https://dino.im/index.xml;
Serverless LAN mode;no;;XEP-0174 unimplemented https://github.com/dino/dino/issues/170
Bots available;yes;https://github.com/topics/xmpp-bot;
Domain;yes;https://dino.im/;
First release;partial;2020-01-29;https://github.com/dino/dino/releases/tag/v0.1.0 initial commit 2017-03-02 https://github.com/dino/dino/commit/56bc45ce4d07a7a9a415e9dc8ad2f7c3f3c9e48d
Public issue tracker;yes;https://github.com/dino/dino/issues;
No past client vulnerabilities;no;2019 https://debian.org/security/2019/dsa-4524 2021 https://dino.im/security/cve-2021-33896/;
Wikipedia;no;;
Wikidata;yes;https://www.wikidata.org/wiki/Q84066495;
