name;;GNUnet Messenger-GTK;
Summary;;GNUnet Messenger service, GTK;Early alpha. Provide private and secure communication between any group of devices.
Screenshots;;https://flathub.org/apps/details/org.gnunet.Messenger https://commons.wikimedia.org/wiki/File:Gnunet-gtk-0.7.0.png;
Android Google Play;no;;
Android F-droid/apk;no;;
Other mobile;no;;
Other Android;no;;
Apple iOS;no;;
Desktop;yes;Flatpak https://flathub.org/apps/details/org.gnunet.Messenger or source https://www.gnunet.org/en/news/2022-05-messenger-gtk-0.7.0.html https://www.gnunet.org/en/applications.html;
Web;no;;
Languages;no;English;
Protocol;;GNUnet https://www.gnunet.org/;
Protocol open;yes;https://docs.gnunet.org/handbook/gnunet.html#Key-Concepts https://www.gnunet.org/en/livingstandards.html;
Client license;yes;AGPL-3.0-only https://git.gnunet.org/messenger-gtk.git/tree/COPYING;
Register without app;no;;
Replies;no;;
Group chat;yes;https://www.gnunet.org/en/news/2022-05-messenger-gtk-0.7.0.html;
Voice messages;yes;https://www.gnunet.org/en/news/2022-05-messenger-gtk-0.7.0.html;
File transfer;yes;https://www.gnunet.org/en/news/2022-05-messenger-gtk-0.7.0.html;
Read public content without registering;no;;
Multiple devices;partial;"It is still difficult to get reliable chats between different devices." https://www.gnunet.org/en/news/2022-05-messenger-gtk-0.7.0.html;
Multiple accounts;yes;https://www.gnunet.org/en/news/2022-05-messenger-gtk-0.7.0.html;
Landing page;yes;https://www.gnunet.org/en/;
Manual;yes;https://docs.gnunet.org/latest/ https://bib.gnunet.org/;
Logo;yes;https://www.gnunet.org/favicon.ico https://commons.wikimedia.org/wiki/File:Official_logo_of_the_GNUnet_project.svg;
Contact list confidential;yes;Decentralized, no server.;
Security team;yes;;
Usage without phone number;yes;;
No-cost tier;yes;;
Multi-party development;partial;;
Isolated self-hosting;yes;;
User can extend network with node;yes;;
Identity not controlled by vendor;yes;;
Open documentation;yes;https://git.gnunet.org/gnunet-handbook.git/tree/;
Web forum;yes;https://lists.gnu.org/mailman/listinfo/help-gnunet https://lists.gnu.org/mailman/listinfo/info-gnunet https://lists.gnu.org/mailman/listinfo/gnunet-developers https://lists.gnu.org/mailman/listinfo/bug-gnunet;
Contact;yes;mailto:bug-gnunet@gnu.org mailto:translators@gnunet.org irc://psyced.org/welcome xmpp:*welcome@psyced.org irc://psycyificvaxuzut3t6hcies3stfdtlzqftcnmbb5su3xv4zugplsfad.onion:67/welcome mumble://gnunet.org/;
Syndication;yes;https://www.gnunet.org/en/rss.xml;
Domain;yes;https://www.gnunet.org/;
First release;no;v0.7.0 2022-04-23 https://git.gnunet.org/messenger-gtk.git/commit/?id=c761b8313fef8619a1839328fd3e9e8b7459bec9;
Public issue tracker;yes;https://bugs.gnunet.org/;
Ethical financing in the past;yes;https://www.gnunet.org/en/about.html;
Wikipedia;yes;https://en.wikipedia.org/wiki/GNUnet;
Wikidata;yes;https://www.wikidata.org/wiki/Q1007056;
