name;;Matrix Synapse & Element Web;
Android Google Play;;yes https://matrix.org/clients/;
Android F-droid/apk;;yes https://f-droid.org/en/packages/im.vector.app/;
Apple iOS;;yes https://matrix.org/clients/;
Desktop;;yes https://matrix.org/clients/;
Web;;yes https://matrix.org/clients/;
Languages;yes;many https://github.com/vector-im/element-web#user-content-translations https://github.com/vector-im/element-web/tree/master/src/i18n/strings;
Protocol;;Matrix;
Protocol open;yes;https://spec.matrix.org/latest/;
Server license;;Apache 2.0 https://github.com/matrix-org/synapse/blob/develop/LICENSE;
Client license;;Apache 2.0 https://github.com/vector-im/element-web/blob/develop/LICENSE;
Group chat;;yes;
Voice calls;;yes, WebRTC https://matrix.org/faq/#what-can-i-actually-do-with-this%3F;
Video calls;;yes, WebRTC https://matrix.org/faq/#what-can-i-actually-do-with-this%3F;
Group calls;;yes, via Jitsi https://matrix.org/faq/#what-can-i-actually-do-with-this%3F;
Read public content without registering;;guest participant, room peek preview, static HTML view https://spec.matrix.org/latest/client-server-api/#guest-access https://view.matrix.org/;
End-to-end encryption;;yes https://matrix.org/faq/#which-matrix-clients-support-e2e;
Usage without phone number;;yes;
Offline;partial;compose or read recent Desktop messages, no Web startup;Buffered messages on Element Desktop, Element Web lacks offline startup via Web Workers;
Servers required;;Synapse homeserver, notifications push;
Servers optional;;DNS, Element Web app, identity, integrations, ICE, Jitsi https://gitlab.com/libremonde-org/papers/research/privacy-matrix.org/-/blob/master/part1/README.md;
Serverless WAN mode;;no;
Serverless LAN mode;;no;
IP shielded from peers;yes;Not during calls if you enable WebRTC;
