name;;Mumble;
Summary;;Low latency, high quality group calls https://www.mumble.info/about/ https://github.com/mumble-voip/;
Android Google Play;yes;3rd party https://play.google.com/store/apps/details?id=se.lublin.mumla;
Android F-droid/apk;yes;3rd party https://f-droid.org/packages/se.lublin.mumla/;
Apple iOS;partial;unmaintained since 2017 https://apps.apple.com/us/app/mumble/id443472808;
Desktop;yes;Linux, Windows, MacOS https://www.mumble.info/downloads/ https://www.flathub.org/apps/details/info.mumble.Mumble https://snapcraft.io/mumble;
Protocol;;Mumble https://wiki.mumble.info/wiki/Protocol;
Protocol open;yes;https://github.com/mumble-voip/mumble/blob/master/src/Mumble.proto https://mumble-protocol.readthedocs.io/en/latest/;
Server license;yes;BSD https://www.mumble.info/about/ https://www.mumble.info/LICENSE;
Client license;yes;BSD https://www.mumble.info/about/ https://www.mumble.info/LICENSE;
Group chat;partial;ephemeral, no logs https://github.com/mumble-voip/mumble/issues/2560;
Voice calls;yes;https://wiki.mumble.info/wiki/FAQ;
Video calls;no;https://wiki.mumble.info/wiki/FAQ;
Group calls;yes;https://wiki.mumble.info/wiki/FAQ;
File transfer;no;https://github.com/mumble-voip/mumble/issues/3324;
Vendor can't curate content;yes;fully self-hosted;
End-to-end encryption;no;https://github.com/mumble-voip/mumble/issues/1813;
No-cost tier;yes;https://www.mumble.info/downloads/;
Payment choices;;N/A;
Active development;yes;https://www.mumble.info/about/;
Multi-party development;yes;https://www.mumble.info/about/;
Tor access of vendor operated network;yes;fully self-hosted;
IPv6 access of vendor operated network;yes;fully self-hosted;
Vendor legal entity kind;;team of voluntary developers https://www.mumble.info/about/;
Vendor jurisdiction;;various countries;including Italy, Germany, USA and more https://www.mumble.info/about/
Infrastructure jurisdiction;;fully self-hosted;
Infrastructure provider;;fully self-hosted;
First release;yes;2005-09-02 https://wikiless.org/wiki/Mumble_(software)?lang=en;
Public issue tracker;yes;https://github.com/mumble-voip/mumble/issues;
