name;;Olvid;
Summary;;Chat over untrusted server;no centralized user directory https://github.com/olvid-io/olvid-android#user-content-olvid
Android Google Play;yes;https://play.google.com/store/apps/details?id=io.olvid.messenger;
Android F-droid/apk;no;https://www.olvid.io/faq/how-to-install-olvid/#availability-on-f-droid-and-other-alternative-stores;discussing it
Server license;no;proprietary;
Client license;yes;AGPL-3.0 https://github.com/olvid-io/olvid-android/blob/main/LICENSE https://github.com/olvid-io/olvid-ios/blob/main/LICENSE;
Large bug bounty;yes;https://blog.yeswehack.com/customer-stories/olvid-the-ultra-secure-messaging-app-moves-to-public-bug-bounty-program/;
Audits;yes;2020 https://eprint.iacr.org/2020/808;
Public issue tracker;yes;https://github.com/olvid-io/olvid-android/issues https://github.com/olvid-io/olvid-ios/issues;
Researched;no;;
