name;;qaul;
Summary;;Internet Independent Wireless Mesh Communication App https://qaul.net/ https://github.com/qaul/qaul.net;
Android Google Play;yes;https://play.google.com/store/apps/details?id=net.qaul.qaul_app;
Android F-droid/apk;partial;apk https://github.com/qaul/qaul.net/releases;
Apple iOS;partial;TestFlight https://testflight.apple.com/join/Opmxb2Ym;
Desktop;yes;https://github.com/qaul/qaul.net/releases;
Web;no;https://github.com/qaul/qaul.net/issues/313 https://github.com/qaul/qaul.net/issues/315;
Languages;yes;13 https://github.com/qaul/qaul.net/tree/main/qaul_ui/lib/l10n;
Protocol;;Noise Protocol http://qaul.github.io/qaul.net/#/qaul/rust/security?id=lan-amp-internet-connections https://noiseprotocol.org/noise.html;
Protocol open;yes;https://noiseprotocol.org/;
Server license;yes;AGPL-3.0-only https://github.com/qaul/qaul.net/blob/main/LICENSE;
Client license;yes;AGPL-3.0-only https://github.com/qaul/qaul.net/blob/main/LICENSE;
Register without app;no;;
Group chat;yes;https://github.com/qaul/qaul.net/issues/357;
Voice calls;no;https://github.com/qaul/qaul.net/issues/310;
Video calls;no;https://github.com/qaul/qaul.net/issues/310;
Message formatting;no;https://github.com/qaul/qaul.net/issues/488;
Emoticons in message;no;https://github.com/qaul/qaul.net/issues/489;
Link preview;no;;
Inline images;yes;;
Reactions;no;https://github.com/qaul/qaul.net/issues/489;
Multiple devices;no;;
Multiple accounts;no;;
End-to-end encryption;yes;http://qaul.github.io/qaul.net/#/qaul/rust/security?id=end-to-end-messaging-encryption;
Perfect forward secrecy;yes;http://qaul.github.io/qaul.net/#/qaul/rust/security?id=end-to-end-messaging-encryption;
Usage without phone number;yes;;
No-cost tier;yes;;
Active development;yes;;
User can extend network with node;yes;https://qaul.net/tutorials/community-node/;
Serverless LAN mode;yes;;
Public issue tracker;yes;https://github.com/qaul/qaul.net/issues;
