name;;Quassel;
Summary;;IRC client with bouncer;Modern, cross-platform, distributed IRC client with local server backend https://quassel-irc.org/
Android Google Play;yes;https://play.google.com/store/apps/details?id=com.iskrembilen.quasseldroid;
Android F-droid/apk;yes;https://f-droid.org/en/packages/com.iskrembilen.quasseldroid/;
Apple iOS;yes;https://apps.apple.com/us/app/iquassel-for-quassel-cores/id566844252;
Desktop;yes;https://quassel-irc.org/downloads;
Protocol;;IRC;
Protocol open;yes;https://www.ietf.org/rfc/rfc1459.txt;
Client license;yes;GPLv3 https://github.com/quassel/quassel/blob/master/gpl-3.0.txt https://git.kuschku.de/justJanne/QuasselDroid-ng/-/blob/main/LICENSE.md;
Register without app;yes;;
Group chat;yes;;
Voice calls;no;;
Video calls;no;;
Group calls;no;;
Multiple devices;yes;;
Multiple accounts;yes;;
Remote message removal;no;;
Remote message correction;no;;
Message expiration;no;;
Presence status;yes;;Standard IRC protocol status
Presence not mandatory;yes;;Standard IRC protocol status
Typing indication;no;;
Read receipts;no;;
Account deactivation after device compromise;yes;;
End-to-end encryption;no;;
Deniability;no;;
Metadata protection;no;;
Usage without phone number;yes;;
Identity not controlled by vendor;yes;;
Servers required;;IRC server;
First release;yes;2008-08-27 https://en.wikipedia.org/wiki/Quassel_IRC;
Public issue tracker;yes;https://git.kuschku.de/justJanne/QuasselDroid-ng/-/issues https://bugs.quassel-irc.org/;
