name;Signal;;
Android Google Play;;yes https://signal.org/download/
Android F-droid/apk;partial;apk https://signal.org/android/apk/;avoids f-droid https://community.signalusers.org/t/wiki-signal-android-app-on-f-droid-store-f-droid-status/28581
Apple iOS;;yes https://signal.org/download/
Desktop;;yes https://signal.org/download/
Web;;no
Protocol;;Signal Protocol https://signal.org/docs/
Protocol open;;yes https://signal.org/docs/
Server license;;AGPLv3 https://github.com/signalapp/Signal-Server/blob/master/LICENSE
Client license;;Android GPLv3 https://github.com/signalapp/Signal-Android/blob/master/LICENSE iOS GPLv3 https://github.com/signalapp/Signal-iOS/blob/master/LICENSE Desktop AGPLv3 https://github.com/signalapp/Signal-Desktop/blob/development/LICENSE
Group chat;;yes https://support.signal.org/hc/en-us/articles/360007319331-Group-chats
Voice calls;;yes https://support.signal.org/hc/en-us/articles/360007060492-Voice-or-Video-Calling-with-Screen-Sharing
Video calls;;yes https://support.signal.org/hc/en-us/articles/360007060492-Voice-or-Video-Calling-with-Screen-Sharing
Group calls;;yes https://support.signal.org/hc/en-us/articles/360052977792-Group-Calling-Voice-or-Video-with-Screen-Sharing
End-to-end encryption;;yes https://support.signal.org/hc/en-us/articles/360007320391-Is-it-private-Can-I-trust-it-
Message expiration;;yes https://support.signal.org/hc/en-us/articles/360007320771-Set-and-manage-disappearing-messages
Usage without phone number;;no
Register without app;;no
Company jurisdiction;;USA https://signal.org/legal/
Infrastructure jurisdiction;;USA
Infrastructure provider;;Amazon
User can extend network with node;;no
Identity not controlled by company;;no
Offline;;partial
Serverless WAN mode;;no
Serverless LAN mode;;no
Network store and forward;;yes
Wireless mode;;no
IP shielded from peers;;yes
Third party clients;no;https://github.com/LibreSignal/LibreSignal/blob/master/README.md https://github.com/LibreSignal/LibreSignal/issues/37#issuecomment-217211165 https://lwn.net/Articles/687294/;
