name;;Skype;
Summary;;Chat, voice and video calling app with opt-in E2EE owned by Microsoft https://www.skype.com/;Paid calls to landline and cellular numbers are a possible option
Android Google Play;yes;https://play.google.com/store/apps/details?id=com.skype.raider;
Android F-droid/apk;no;;
Apple iOS;yes;https://apps.apple.com/us/app/skype-for-iphone/id304878510;
Desktop;yes;https://www.skype.com/en/get-skype/;
Web;yes;https://web.skype.com/;
Languages;yes;many https://support.skype.com/en/faq/FA34781/what-languages-are-supported-in-skype;
Protocol;;proprietary https://en.wikipedia.org/wiki/Skype_protocol;
Protocol open;no;;
Server license;no;proprietary;
Client license;no;proprietary;
Group chat;yes;;
Voice calls;yes;;
Video calls;yes;;
Group calls;yes;;
Multiple devices;yes;;
Multiple accounts;no;;
Message expiration;no;;
Presence status;yes;;
Presence not mandatory;yes;https://support.skype.com/en/faq/FA34699/what-are-the-possible-skype-statuses;
Read receipts;yes;https://support.skype.com/en/faq/FA34852/what-are-read-receipts-in-skype;
Receipts not mandatory;yes;https://support.skype.com/en/faq/FA34852/what-are-read-receipts-in-skype;
Themes;partial;https://support.skype.com/en/faq/FA34854/how-do-i-change-my-theme-in-skype;light/dark
End-to-end encryption;partial;Only for "Private converstations" (not default) https://support.skype.com/en/faq/FA34824/what-are-skype-private-conversations https://support.skype.com/en/faq/FA31/does-skype-use-encryption;
Deniability;no;;
Identity not controlled by vendor;no;;
Serverless WAN mode;no;;
Serverless LAN mode;no;;
Wireless mode;no;;
Bots available;yes;;https://beebom.com/best-skype-bots/
User addons;yes;;https://www.thewindowsclub.com/skype-plug-ins-tools-software
Transparency reports;no;Transparanty is nonexistent;https://www.microsoft.com/en-us/corporate-responsibility/law-enforcement-requests-report
Vendor jurisdiction;;Depends on the region, but every vendor reports to headquarter in USA;
Infrastructure jurisdiction;;Depends on the region, but every vendor reports to headquarter in USA;
Infrastructure provider;;Amazon, Azure + others;
Good ToSDR grade;no;E https://tosdr.org/en/service/244;
First release;yes;2003-08-29 https://en.wikipedia.org/wiki/Skype;
Public issue tracker;no;;
Support team;no;;
No past DDoS;no;;https://www.zdnet.com/article/microsoft-heres-how-we-stopped-the-biggest-ever-ddos-attack/
No past client vulnerabilities;no;surreptitious sharing https://threatpost.com/surreptitious-sharing-android-api-flaw-leaks-data-private-keys/117174/;
Ethical financing in the past;no;;Microsoft is paying little to no Tax in Scandinavia
Ethical business in the past;no;;
No past conflicts of interest;no;;
No past privacy glitches;no;;
