name;;Snapchat;
Summary;;American photo messaging application;
Screenshots;;;
Android Google Play;yes;https://play.google.com/store/apps/details?id=com.snapchat.android;
Android F-droid/apk;no;;
Other mobile;;;
Other Android;;;
Apple iOS;yes;https://apps.apple.com/us/app/snapchat/id447188370;
Desktop;no;;
Web;no;coming soon to web https://web.snapchat.com/coming-soon;
Languages;yes;many https://support.snapchat.com/en-US/a/change-language;
Protocol;;;
Protocol open;yes;https://chromium.googlesource.com/chromium/src/+/HEAD/net/quic/;
Server license;no;proprietary https://snap.com/en-US/terms;
Client license;no;proprietary https://snap.com/en-US/terms;
Register without app;no;;
Spell check;yes;;
Group chat;yes;https://www.distractify.com/p/how-to-make-group-chat-on-snapchat;
Voice calls;yes;https://support.snapchat.com/en-US/article/voice-call;
Video calls;yes;https://support.snapchat.com/en-US/a/video-chat;
Group calls;yes;https://support.snapchat.com/en-US/a/video-chat;
Voice messages;yes;voice notes, limited to certain length;
Screen sharing;;;
Audio filtering;yes;aggressively detect and cancel the background noise;
File transfer;no;;
Message formatting;;;
Emoticons in message;;;
Unicode support;;;
Emoji composer;yes;;
Emoji reception;;;
Sticker packs;yes;animated sticker packs available;
Link preview;partial;works by swiping up to go to attached URL;primarily used for ads
Inline images;;;
Inline videos;;;
Polls;yes;;
Reactions;yes;;https://newsroom.snap.com/new-messaging-tools
Read public content without registering;no;;
Multiple devices;;;
Online account replica;;;
Multiple accounts;no;;
Application locking;;;
Remote message removal;no;;
Remote message correction;no;;
Message expiration;partial;retained indefinitely on their servers;
Presence status;;;
Presence not mandatory;;;
Typing indication;yes;;
Read receipts;yes;;
Receipts not mandatory;;;
Themes;;;
Vendor can't curate content;;;
Spam protection;;;
Account deactivation after device compromise;;;
Account recovery after device compromise;;;
CPU idle;;;
Power saving;;;
Bandwidth frugal;;;
End-to-end encryption;no;no, but delivery is encrypted;Snaps are encrypted in transit and until viewed by recipient, not E2EE
E2EE keys shielded from operator;;;
Deniability;;;
Replay prevention;;;
Downgrade resistance;;;
Contact list confidential;no;;server likely has a copy at all times and keeps older versions
Metadata protection;no;;
Perfect forward secrecy;;;
Security team;;;
Large bug bounty;;;
Reproducible builds;;;
Audits;;;
Usage without phone number;;;
Transparent financing;;;
No-cost tier;;;
Payment choices;;;
Active development;;;
Multi-party development;;;
Isolated self-hosting;;;
User can extend network with node;;;
Identity not controlled by vendor;;;
Offline;;;
Servers required;;;
Servers optional;;;
Serverless WAN mode;;;
Serverless LAN mode;;;
Network store and forward;;;
Wireless mode;;;
IP shielded from peers;;;
Proxy support;;;
Third party clients;;;
Bots available;;;
User addons;;;
Hosted bots and addons;;;
Tor access of vendor operated network;;;
IPv6 access of vendor operated network;;;
Vendor operated network inaccessible from countries;;;
Vendor legal entity kind;;;
Transparency reports;;;
Vendor jurisdiction;;;
Infrastructure jurisdiction;;;
Infrastructure provider;;;
Good ToSDR grade;no;E https://tosdr.org/en/service/311;
First release;yes;2011-10-29 originally named “Picaboo” ;
Public issue tracker;partial;only in-app reporting via "shake to report" https://support.snapchat.com/en-US/a/shake-to-report;
Support team;yes;;
No past DDoS;no;DoS using the API for Android and iOS https://www.theregister.com/2014/02/10/snapchat_token_bug_creates_dos_attack_for_ios_android/;
No past client vulnerabilities;no;many privacy-related hacks;https://www.mcafee.com/blogs/privacy-identity-protection/snapchat-hacked-4-6m-phone-numbers-leaked/
No past server vulnerabilities;;;
No past financing hiccups;;;
Ethical financing in the past;;;
Ethical business in the past;;;
No past conflicts of interest;no;;
No past privacy glitches;no;https://www.vice.com/en/article/xwnva7/snapchat-employees-abused-data-access-spy-on-users-snaplion;
