name;;Telegram FOSS;
Summary;;FOSS-friendly soft fork of the original Telegram Android;
Android Google Play;no;
Android F-droid/apk;yes;https://f-droid.org/en/packages/org.telegram.messenger/;
Apple iOS;no;
Desktop;no;
Web;no;
Languages;yes;many https://translations.telegram.org/;
Protocol;;MTProto https://core.telegram.org/mtproto;
Protocol open;yes;https://core.telegram.org/mtproto;
Server license;no;proprietary;
Client license;yes;GPLv2 https://github.com/Telegram-FOSS-Team/Telegram-FOSS/blob/master/LICENSE;
Group chat;yes;
Voice calls;yes;
Video calls;yes;
Group calls;yes;
Read public content without registering;no;
Multiple devices;yes;;
Multiple accounts;yes;;
Application locking;yes;Android - custom 4 digit PIN + system fingerprint;
End-to-end encryption;partial;Only for 1:1 secret chats (not default) https://telegram.org/faq#q-how-are-secret-chats-different;
Message expiration;partial;Only for 1:1 secret chats (not default) and some media https://telegram.org/faq#q-how-do-self-destructing-messages-work;
Usage without phone number;no;;
Register without app;no;
First release;partial;2017-04-18? https://github.com/Telegram-FOSS-Team/Telegram-FOSS/releases/tag/v3.18.0;
Active development;yes;
User can extend network with node;no;;
Identity not controlled by vendor;no;;
Account deactivation after device compromise;partial; Only for secondary devices;
Offline;partial;Compose or read stored messages;
