name;;Viber;
Summary;;Proprietary instant messaging app https://www.viber.com/;Paid calls to landline and cellular numbers are a possible option via Viber Out
Android Google Play;yes;https://play.google.com/store/apps/details?id=com.viber.voip&gl=US;
Android F-droid/apk;no;https://www.viber.com/en/download/;
Other Android;yes;Huawei https://appgallery.huawei.com/#/app/C101130285;
Apple iOS;yes;https://apps.apple.com/us/app/viber-messenger-chats-calls/id382617920/;
Protocol open;no;;
Server license;no;proprietary;
Client license;no;proprietary;
Group chat;yes;https://viber.com/en/blog/2021-01-27/securitips-how-to-play-it-safe-on-viber-and-how-your-chats-are-kept-private/;
Application locking;yes;also on desktop, individual chats too https://viber.com/en/blog/2021-01-27/securitips-how-to-play-it-safe-on-viber-and-how-your-chats-are-kept-private/;
Message expiration;yes;https://viber.com/en/blog/2021-01-27/securitips-how-to-play-it-safe-on-viber-and-how-your-chats-are-kept-private/;
Spam protection;yes;spam checker, limit invites;select who can add you to group chats https://viber.com/en/blog/2021-01-27/securitips-how-to-play-it-safe-on-viber-and-how-your-chats-are-kept-private/
End-to-end encryption;yes;default https://viber.com/en/blog/2021-01-27/securitips-how-to-play-it-safe-on-viber-and-how-your-chats-are-kept-private/;
Good ToSDR grade;no;unrated https://tosdr.org/en/service/4489;
