name;;Wickr;
Summary;;Ephemeral chat;Cleaning oriented messenger https://wickr.com/ Centralized messenger with focus on getting rid of it's tracks, and every message is temporary, and it can't be disabled. https://wickr.com/security/
Android Google Play;yes;;https://play.google.com/store/apps/details?id=com.mywickr.wickr2&gl=US
Android F-droid/apk;no;;Neither can an apk be dowloaded from their site, as they link directly to Google Play
Apple iOS;yes;;https://apps.apple.com/us/app/wickr-me-private-secure-messenger/id5.92.6154
Desktop;yes;Linux, MacOS, Windows;https://me-download.wickr.com/#/version/me
Web;no;;
Protocol;;Wickr Secure Messaging Protocol (Home browed);
Protocol open;no;;
Server license;no;proprietary;
Client license;no;proprietary;
Register without app;no;;
Emoticons in message;yes;;
Perfect forward secrecy;yes;;
Usage without phone number;yes;;
No-cost tier;yes;;
Active development;yes;;
Identity not controlled by vendor;no;;
Serverless WAN mode;no;;
Serverless LAN mode;no;;
Good ToSDR grade;partial;D https://tosdr.org/en/service/3587;
Server hosted until;;2023-12-31;https://www.404media.co/wickr-closed-down-is-dead/
